Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,124.879997,124.879997,124.879997,124.879997,83.678436,0
2000-11-14,127.820000,127.820000,127.820000,127.820000,85.648438,0
2000-11-15,128.470001,128.470001,128.470001,128.470001,86.083977,0
2000-11-16,126.860001,126.860001,126.860001,126.860001,85.005165,0
2000-11-17,126.440002,126.440002,126.440002,126.440002,84.723740,0
2000-11-20,124.120003,124.120003,124.120003,124.120003,83.169159,0
2000-11-21,124.559998,124.559998,124.559998,124.559998,83.463989,0
2000-11-22,122.260002,122.260002,122.260002,122.260002,81.922852,0
2000-11-24,124.059998,124.059998,124.059998,124.059998,83.128967,0
2000-11-27,124.730003,124.730003,124.730003,124.730003,83.577927,0
2000-11-28,123.540001,123.540001,123.540001,123.540001,82.780518,0
2000-11-29,124.110001,124.110001,124.110001,124.110001,83.162453,0
2000-11-30,121.620003,121.620003,121.620003,121.620003,81.494003,0
2000-12-01,121.650002,121.650002,121.650002,121.650002,81.514099,0
2000-12-04,122.550003,122.550003,122.550003,122.550003,82.117142,0
2000-12-05,127.330002,127.330002,127.330002,127.330002,85.320114,0
2000-12-06,125.029999,125.029999,125.029999,125.029999,83.778946,0
2000-12-07,124.309998,124.309998,124.309998,124.309998,83.296471,0
2000-12-08,126.750000,126.750000,126.750000,126.750000,84.931458,0
2000-12-11,127.720001,127.720001,127.720001,127.720001,85.581406,0
2000-12-12,126.900002,126.900002,126.900002,126.900002,85.031906,0
2000-12-13,125.889999,125.889999,125.889999,125.889999,84.355186,0
2000-12-14,124.120003,124.120003,124.120003,124.120003,83.169159,0
2000-12-15,121.459999,121.459999,121.459999,121.459999,81.386749,0
2000-12-18,122.440002,122.440002,122.440002,122.440002,82.043472,0
2000-12-19,120.860001,120.860001,120.860001,120.860001,80.984726,0
2000-12-20,117.080002,117.080002,117.080002,117.080002,78.451843,0
2000-12-21,118.019997,118.019997,118.019997,118.019997,79.081703,0
2000-12-22,120.519997,120.519997,120.519997,120.519997,80.756920,0
2000-12-26,121.370003,121.370003,121.370003,121.370003,81.326492,0
2000-12-27,122.660004,122.660004,122.660004,122.660004,82.190895,0
2000-12-28,123.150002,123.150002,123.150002,123.150002,82.519218,0
2000-12-29,121.860001,121.860001,121.860001,121.860001,81.654785,0
2001-01-02,118.440002,118.440002,118.440002,118.440002,79.363159,0
2001-01-03,124.410004,124.410004,124.410004,124.410004,83.363495,0
2001-01-04,123.099998,123.099998,123.099998,123.099998,82.485687,0
2001-01-05,119.860001,119.860001,119.860001,119.860001,80.314682,0
2001-01-08,119.660004,119.660004,119.660004,119.660004,80.180649,0
2001-01-09,120.120003,120.120003,120.120003,120.120003,80.488884,0
2001-01-10,121.279999,121.279999,121.279999,121.279999,81.266174,0
2001-01-11,122.529999,122.529999,122.529999,122.529999,82.103722,0
2001-01-12,121.750000,121.750000,121.750000,121.750000,81.581078,0
2001-01-16,122.519997,122.519997,122.519997,122.519997,82.097054,0
2001-01-17,122.790001,122.790001,122.790001,122.790001,82.277969,0
2001-01-18,124.500000,124.500000,124.500000,124.500000,83.423798,0
2001-01-19,124.000000,124.000000,124.000000,124.000000,83.088760,0
2001-01-22,124.029999,124.029999,124.029999,124.029999,83.108871,0
2001-01-23,125.639999,125.639999,125.639999,125.639999,84.187653,0
2001-01-24,126.010002,126.010002,126.010002,126.010002,84.435616,0
2001-01-25,125.379997,125.379997,125.379997,125.379997,84.013451,0
2001-01-26,125.150002,125.150002,125.150002,125.150002,83.859352,0
2001-01-29,126.000000,126.000000,126.000000,126.000000,84.428902,0
2001-01-30,126.889999,126.889999,126.889999,126.889999,85.025253,0
2001-01-31,126.190002,126.190002,126.190002,126.190002,84.556229,0
2001-02-01,126.889999,126.889999,126.889999,126.889999,85.025253,0
2001-02-02,124.669998,124.669998,124.669998,124.669998,83.537704,0
2001-02-05,125.120003,125.120003,125.120003,125.120003,83.839241,0
2001-02-06,124.940002,124.940002,124.940002,124.940002,83.718628,0
2001-02-07,123.910004,123.910004,123.910004,123.910004,83.028412,0
2001-02-08,123.139999,123.139999,123.139999,123.139999,82.512505,0
2001-02-09,121.489998,121.489998,121.489998,121.489998,81.406876,0
2001-02-12,122.919998,122.919998,122.919998,122.919998,82.365089,0
2001-02-13,121.870003,121.870003,121.870003,121.870003,81.661514,0
2001-02-14,121.629997,121.629997,121.629997,121.629997,81.500702,0
2001-02-15,122.629997,122.629997,122.629997,122.629997,82.170731,0
2001-02-16,120.309998,120.309998,120.309998,120.309998,80.616188,0
2001-02-20,118.220001,118.220001,118.220001,118.220001,79.215729,0
2001-02-21,116.040001,116.040001,116.040001,116.040001,77.755020,0
2001-02-22,115.820000,115.820000,115.820000,115.820000,77.607567,0
2001-02-23,115.180000,115.180000,115.180000,115.180000,77.178741,0
2001-02-26,117.199997,117.199997,117.199997,117.199997,78.532280,0
2001-02-27,116.309998,116.309998,116.309998,116.309998,77.935936,0
2001-02-28,114.660004,114.660004,114.660004,114.660004,76.830299,0
2001-03-01,114.779999,114.779999,114.779999,114.779999,76.910683,0
2001-03-02,114.129997,114.129997,114.129997,114.129997,76.475143,0
2001-03-05,114.809998,114.809998,114.809998,114.809998,76.930794,0
2001-03-06,115.959999,115.959999,115.959999,115.959999,77.701424,0
2001-03-07,116.720001,116.720001,116.720001,116.720001,78.210663,0
2001-03-08,117.000000,117.000000,117.000000,117.000000,78.398270,0
2001-03-09,114.099998,114.099998,114.099998,114.099998,76.455048,0
2001-03-12,109.180000,109.180000,109.180000,109.180000,73.158287,0
2001-03-13,110.820000,110.820000,110.820000,110.820000,74.257225,0
2001-03-14,107.959999,107.959999,107.959999,107.959999,72.340858,0
2001-03-15,108.589996,108.589996,108.589996,108.589996,72.762985,0
2001-03-16,106.160004,106.160004,106.160004,106.160004,71.134697,0
2001-03-19,108.029999,108.029999,108.029999,108.029999,72.387726,0
2001-03-20,105.430000,105.430000,105.430000,105.430000,70.645531,0
2001-03-21,103.540001,103.540001,103.540001,103.540001,69.379120,0
2001-03-22,103.120003,103.120003,103.120003,103.120003,69.097672,0
2001-03-23,105.180000,105.180000,105.180000,105.180000,70.478012,0
2001-03-26,106.360001,106.360001,106.360001,106.360001,71.268715,0
2001-03-27,109.080002,109.080002,109.080002,109.080002,73.091324,0
2001-03-28,106.430000,106.430000,106.430000,106.430000,71.315620,0
2001-03-29,105.940002,105.940002,105.940002,105.940002,70.987267,0
2001-03-30,107.080002,107.080002,107.080002,107.080002,71.751205,0
2001-04-02,105.739998,105.739998,105.739998,105.739998,70.853264,0
2001-04-03,102.110001,102.110001,102.110001,102.110001,68.420929,0
2001-04-04,101.830002,101.830002,101.830002,101.830002,68.233299,0
2001-04-05,106.279999,106.279999,106.279999,106.279999,71.215118,0
2001-04-06,104.180000,104.180000,104.180000,104.180000,69.807945,0
2001-04-09,105.029999,105.029999,105.029999,105.029999,70.377563,0
2001-04-10,107.879997,107.879997,107.879997,107.879997,72.287224,0
2001-04-11,107.650002,107.650002,107.650002,107.650002,72.133118,0
2001-04-12,109.269997,109.269997,109.269997,109.269997,73.218620,0
2001-04-16,108.919998,108.919998,108.919998,108.919998,72.984123,0
2001-04-17,110.040001,110.040001,110.040001,110.040001,73.734573,0
2001-04-18,114.330002,114.330002,114.330002,114.330002,76.609154,0
2001-04-19,115.760002,115.760002,115.760002,115.760002,77.567360,0
2001-04-20,114.769997,114.769997,114.769997,114.769997,76.903999,0
2001-04-23,113.050003,113.050003,113.050003,113.050003,75.751503,0
2001-04-24,111.680000,111.680000,111.680000,111.680000,74.833473,0
2001-04-25,113.459999,113.459999,113.459999,113.459999,76.026192,0
2001-04-26,114.010002,114.010002,114.010002,114.010002,76.394760,0
2001-04-27,115.720001,115.720001,115.720001,115.720001,77.540573,0
2001-04-30,115.400002,115.400002,115.400002,115.400002,77.326164,0
2001-05-01,116.959999,116.959999,116.959999,116.959999,78.371498,0
2001-05-02,117.059998,117.059998,117.059998,117.059998,78.438469,0
2001-05-03,115.339996,115.339996,115.339996,115.339996,77.285980,0
2001-05-04,117.010002,117.010002,117.010002,117.010002,78.404961,0
2001-05-07,116.720001,116.720001,116.720001,116.720001,78.210663,0
2001-05-08,116.510002,116.510002,116.510002,116.510002,78.069931,0
2001-05-09,116.000000,116.000000,116.000000,116.000000,77.728180,0
2001-05-10,115.989998,115.989998,115.989998,115.989998,77.721481,0
2001-05-11,115.120003,115.120003,115.120003,115.120003,77.138550,0
2001-05-14,115.430000,115.430000,115.430000,115.430000,77.346245,0
2001-05-15,115.480003,115.480003,115.480003,115.480003,77.379791,0
2001-05-16,118.779999,118.779999,118.779999,118.779999,79.591019,0
2001-05-17,119.110001,119.110001,119.110001,119.110001,79.812103,0
2001-05-18,119.449997,119.449997,119.449997,119.449997,80.039955,0
2001-05-21,121.370003,121.370003,121.370003,121.370003,81.326492,0
2001-05-22,121.059998,121.059998,121.059998,121.059998,81.118759,0
2001-05-23,119.180000,119.180000,119.180000,119.180000,79.859032,0
2001-05-24,119.559998,119.559998,119.559998,119.559998,80.113647,0
2001-05-25,118.150002,118.150002,118.150002,118.150002,79.168854,0
2001-05-29,117.239998,117.239998,117.239998,117.239998,78.559090,0
2001-05-30,115.430000,115.430000,115.430000,115.430000,77.346245,0
2001-05-31,116.160004,116.160004,116.160004,116.160004,77.835403,0
2001-06-01,116.610001,116.610001,116.610001,116.610001,78.136925,0
2001-06-04,117.199997,117.199997,117.199997,117.199997,78.532280,0
2001-06-05,118.720001,118.720001,118.720001,118.720001,79.550797,0
2001-06-06,117.489998,117.489998,117.489998,117.489998,78.726593,0
2001-06-07,118.129997,118.129997,118.129997,118.129997,79.155441,0
2001-06-08,117.019997,117.019997,117.019997,117.019997,78.411667,0
2001-06-11,116.040001,116.040001,116.040001,116.040001,77.755020,0
2001-06-12,116.180000,116.180000,116.180000,116.180000,77.848801,0
2001-06-13,114.889999,114.889999,114.889999,114.889999,76.984428,0
2001-06-14,112.870003,112.870003,112.870003,112.870003,75.630875,0
2001-06-15,112.370003,112.370003,112.370003,112.370003,75.295845,0
2001-06-18,111.820000,111.820000,111.820000,111.820000,74.927292,0
2001-06-19,112.209999,112.209999,112.209999,112.209999,75.188629,0
2001-06-20,113.180000,113.180000,113.180000,113.180000,75.838577,0
2001-06-21,114.470001,114.470001,114.470001,114.470001,76.702980,0
2001-06-22,113.099998,113.099998,113.099998,113.099998,75.982132,0
2001-06-25,112.470001,112.470001,112.470001,112.470001,75.558884,0
2001-06-26,112.300003,112.300003,112.300003,112.300003,75.444702,0
2001-06-27,111.790001,111.790001,111.790001,111.790001,75.102089,0
2001-06-28,113.190002,113.190002,113.190002,113.190002,76.042618,0
2001-06-29,113.019997,113.019997,113.019997,113.019997,75.928398,0
2001-07-02,114.160004,114.160004,114.160004,114.160004,76.694260,0
2001-07-03,113.970001,113.970001,113.970001,113.970001,76.566582,0
2001-07-05,112.580002,112.580002,112.580002,112.580002,75.632790,0
2001-07-06,109.959999,109.959999,109.959999,109.959999,73.872643,0
2001-07-09,110.720001,110.720001,110.720001,110.720001,74.383202,0
2001-07-10,109.139999,109.139999,109.139999,109.139999,73.321770,0
2001-07-11,109.010002,109.010002,109.010002,109.010002,73.234413,0
2001-07-12,111.599998,111.599998,111.599998,111.599998,74.974434,0
2001-07-13,112.300003,112.300003,112.300003,112.300003,75.444702,0
2001-07-16,111.070000,111.070000,111.070000,111.070000,74.618355,0
2001-07-17,112.180000,112.180000,112.180000,112.180000,75.364052,0
2001-07-18,111.559998,111.559998,111.559998,111.559998,74.947533,0
2001-07-19,112.239998,112.239998,112.239998,112.239998,75.404350,0
2001-07-20,111.849998,111.849998,111.849998,111.849998,75.142380,0
2001-07-23,110.019997,110.019997,110.019997,110.019997,73.912941,0
2001-07-24,108.230003,108.230003,108.230003,108.230003,72.710396,0
2001-07-25,109.970001,109.970001,109.970001,109.970001,73.879333,0
2001-07-26,111.110001,111.110001,111.110001,111.110001,74.645233,0
2001-07-27,111.400002,111.400002,111.400002,111.400002,74.840050,0
2001-07-30,111.279999,111.279999,111.279999,111.279999,74.759422,0
2001-07-31,111.900002,111.900002,111.900002,111.900002,75.175949,0
2001-08-01,112.349998,112.349998,112.349998,112.349998,75.478279,0
2001-08-02,112.809998,112.809998,112.809998,112.809998,75.787300,0
2001-08-03,112.220001,112.220001,112.220001,112.220001,75.390945,0
2001-08-06,110.949997,110.949997,110.949997,110.949997,74.537743,0
2001-08-07,111.309998,111.309998,111.309998,111.309998,74.779579,0
2001-08-08,109.400002,109.400002,109.400002,109.400002,73.496429,0
2001-08-09,109.410004,109.410004,109.410004,109.410004,73.503128,0
2001-08-10,110.029999,110.029999,110.029999,110.029999,73.919678,0
