Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,65.410004,65.720001,65.139999,65.209999,54.136284,2230400
2012-01-04,65.150002,65.349998,64.769997,65.239998,54.161190,1647400
2012-01-05,64.940002,65.599998,64.580002,65.529999,54.401936,1146300
2012-01-06,65.559998,65.599998,65.099998,65.379997,54.277405,1640000
2012-01-09,65.529999,65.620003,65.190002,65.529999,54.401936,1978900
2012-01-10,66.199997,66.389999,66.059998,66.180000,54.941555,1368200
2012-01-11,65.959999,66.339996,65.879997,66.300003,55.041168,1825300
2012-01-12,66.480003,66.510002,65.900002,66.459999,55.174007,945000
2012-01-13,65.980003,66.150002,65.500000,66.150002,54.916653,1294700
2012-01-17,66.730003,66.820000,66.180000,66.300003,55.041168,2181700
2012-01-18,66.330002,67.110001,66.169998,67.099998,55.705307,2007300
2012-01-19,67.370003,67.570000,67.160004,67.510002,56.045685,4201300
2012-01-20,67.360001,67.529999,67.209999,67.529999,56.062294,1537600
2012-01-23,67.529999,67.910004,67.190002,67.550003,56.078892,3387500
2012-01-24,67.160004,67.570000,67.010002,67.540001,56.070599,1551900
2012-01-25,67.480003,68.290001,67.209999,68.160004,56.585308,1737900
2012-01-26,68.480003,68.599998,67.529999,67.809998,56.294754,2632700
2012-01-27,67.480003,68.000000,67.440002,67.860001,56.336258,2056600
2012-01-30,67.220001,67.680000,66.949997,67.589996,56.112110,1760300
2012-01-31,68.000000,68.040001,67.269997,67.559998,56.087200,2250500
2012-02-01,68.129997,68.620003,68.029999,68.339996,56.734745,1993200
2012-02-02,68.489998,68.629997,68.190002,68.459999,56.834373,19893800
2012-02-03,69.190002,69.500000,69.059998,69.480003,57.681164,2399700
2012-02-06,69.239998,69.470001,69.099998,69.440002,57.647976,2289600
2012-02-07,69.300003,69.709999,69.029999,69.599998,57.780788,1967000
2012-02-08,69.660004,69.849998,69.290001,69.750000,57.905319,2407100
2012-02-09,69.879997,69.959999,69.419998,69.860001,57.996605,1780800
2012-02-10,69.230003,69.379997,69.040001,69.309998,57.540024,1365200
2012-02-13,69.820000,69.910004,69.510002,69.839996,57.980030,1499600
2012-02-14,69.699997,69.779999,69.290001,69.739998,57.897015,1875500
2012-02-15,70.000000,70.099998,69.279999,69.440002,57.647976,2022900
2012-02-16,69.449997,70.320000,69.349998,70.269997,58.337006,1601500
2012-02-17,70.480003,70.519997,70.180000,70.370003,58.420013,2093300
2012-02-21,70.580002,70.680000,70.129997,70.339996,58.395111,1525900
2012-02-22,70.209999,70.410004,69.989998,70.120003,58.212463,1781800
2012-02-23,70.080002,70.529999,69.820000,70.510002,58.536259,1500800
2012-02-24,70.650002,70.779999,70.470001,70.610001,58.619267,1267400
2012-02-27,70.139999,70.889999,69.970001,70.669998,58.669071,1350500
2012-02-28,70.739998,70.949997,70.570000,70.870003,58.835114,1839300
2012-02-29,70.980003,71.190002,70.400002,70.410004,58.453217,2211400
2012-03-01,70.669998,71.089996,70.610001,70.949997,58.901524,2413800
