Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,36.660000,36.660000,36.660000,36.660000,30.131832,0
2012-01-04,36.639999,36.639999,36.639999,36.639999,30.115393,0
2012-01-05,36.790001,36.790001,36.790001,36.790001,30.238688,0
2012-01-06,36.720001,36.720001,36.720001,36.720001,30.181147,0
2012-01-09,36.820000,36.820000,36.820000,36.820000,30.263348,0
2012-01-10,37.169998,37.169998,37.169998,37.169998,30.551014,0
2012-01-11,37.220001,37.220001,37.220001,37.220001,30.592106,0
2012-01-12,37.320000,37.320000,37.320000,37.320000,30.674301,0
2012-01-13,37.119999,37.119999,37.119999,37.119999,30.509922,0
2012-01-17,37.250000,37.250000,37.250000,37.250000,30.616776,0
2012-01-18,37.700001,37.700001,37.700001,37.700001,30.986637,0
2012-01-19,37.889999,37.889999,37.889999,37.889999,31.142805,0
2012-01-20,37.919998,37.919998,37.919998,37.919998,31.167461,0
2012-01-23,37.930000,37.930000,37.930000,37.930000,31.175678,0
2012-01-24,37.930000,37.930000,37.930000,37.930000,31.175678,0
2012-01-25,38.290001,38.290001,38.290001,38.290001,31.471577,0
2012-01-26,38.080002,38.080002,38.080002,38.080002,31.298973,0
2012-01-27,38.080002,38.080002,38.080002,38.080002,31.298973,0
2012-01-30,37.959999,37.959999,37.959999,37.959999,31.200338,0
2012-01-31,37.950001,37.950001,37.950001,37.950001,31.192123,0
2012-02-01,38.360001,38.360001,38.360001,38.360001,31.529104,0
2012-02-02,38.430000,38.430000,38.430000,38.430000,31.586641,0
2012-02-03,39.029999,39.029999,39.029999,39.029999,32.079800,0
2012-02-06,39.009998,39.009998,39.009998,39.009998,32.063354,0
2012-02-07,39.070000,39.070000,39.070000,39.070000,32.112675,0
2012-02-08,39.160000,39.160000,39.160000,39.160000,32.186649,0
2012-02-09,39.209999,39.209999,39.209999,39.209999,32.227749,0
2012-02-10,38.910000,38.910000,38.910000,38.910000,31.981173,0
2012-02-13,39.209999,39.209999,39.209999,39.209999,32.227749,0
2012-02-14,39.169998,39.169998,39.169998,39.169998,32.194870,0
2012-02-15,38.970001,38.970001,38.970001,38.970001,32.030495,0
2012-02-16,39.450001,39.450001,39.450001,39.450001,32.425003,0
2012-02-17,39.520000,39.520000,39.520000,39.520000,32.482544,0
2012-02-21,39.500000,39.500000,39.500000,39.500000,32.466103,0
2012-02-22,39.349998,39.349998,39.349998,39.349998,32.342823,0
2012-02-23,39.580002,39.580002,39.580002,39.580002,32.531864,0
2012-02-24,39.630001,39.630001,39.630001,39.630001,32.572964,0
2012-02-27,39.680000,39.680000,39.680000,39.680000,32.614044,0
2012-02-28,39.770000,39.770000,39.770000,39.770000,32.688026,0
2012-02-29,39.549999,39.549999,39.549999,39.549999,32.507206,0
2012-03-01,39.810001,39.810001,39.810001,39.810001,32.720905,0
2012-03-02,39.630001,39.630001,39.630001,39.630001,32.572964,0
